"Away"  "Draw"  "Home"
"438"  0.15  0.41  0.45
"439"  0.79  0.1  0.11
"440"  0.45  0.23  0.32
"441"  0.45  0.35  0.2
"442"  0.54  0.24  0.23
"443"  0.34  0.3  0.36
"444"  0.62  0.09  0.29
"445"  0.14  0.27  0.59
"446"  0.53  0.21  0.26
"447"  0.26  0.13  0.61
"448"  0.13  0.13  0.74
"449"  0.13  0.37  0.5
"450"  0.27  0.23  0.5
"451"  0.1  0.11  0.79
"452"  0.19  0.1  0.71
"453"  0.58  0.22  0.21
"454"  0.33  0.07  0.6
"455"  0.08  0.33  0.59
"456"  0  0.2  0.8
"457"  0.26  0.1  0.64
"458"  0.43  0.1  0.47
"459"  0.32  0.41  0.27
"460"  0.62  0.16  0.22
"461"  0.28  0.22  0.5
"462"  0.08  0.4  0.52
"463"  0.33  0.17  0.51
"464"  0.27  0.33  0.4
"465"  0.81  0.07  0.12
"466"  0.28  0.12  0.6
"467"  0.09  0.27  0.63
"468"  0.1  0.13  0.77
